person_id,full_name,name_variants,korean_name_hangul,korean_name_hanja,indian_local_name_variants,birth_year,birth_date_precision,death_year,death_date_precision,nationality_region,period,profession_role,religious_affiliation,institution_org,india_connection,korea_connection,relationship_type,physically_traveled,travel_summary,direction_of_influence,exchange_types,evidence_of_influence,historical_significance,confidence,notes,data_entry_date,status,source_ids
P-0030,Rabindranath Tagore,Robindronath Thakur (Bengali); Korean: 타고르/타골/타아골,라빈드라나트 타고르,,রবীন্দ্রনাথ ঠাকুর,1861,YEAR,1941,YEAR,INDIAN (Bengal),MODERN,Poet; novelist; playwright; essayist; educator; first Asian Nobel laureate in Literature (1913),Brahmoism-influenced Hindu humanist universalism,Visva-Bharati (Santiniketan),India's national poet; the central Indian figure of Korea's literary imagination in the colonial era,"Signed a 6-line English message dated 1929-03-28 (Tokyo) later known as 'The Lamp of the East' (동방의 등불), delivered at Yokohama departure for the Korean people; published in Dong-a Ilbo Apr 1929, translated by Chu Yo-han; planned a Korea lecture in June 1929 (cancelled for health); sent 'The Song of the Defeated' to Chin Hak-mun in 1916 (published in Ch'ŏngch'un Nov 1917); met Ch'oe Nam-sŏn and Chin Hak-mun in Tokyo/Yokohama 1916",DIRECT,NO,Visited Japan five times (1916-1929) and China once (1924); never set foot in Korea despite two planned contacts; met Korean students in person in Tokyo/Yokohama 1916,INDIA_TO_KOREA,LITERARY;CULTURAL;POLITICAL,"Dong-a Ilbo archival record; Hong Eun-taek's studies (2012, 2014); Choi Seong-woo's rhetorical analysis (2022); Kim Ujo (2014) in 인도연구; 2011 bust at Daehak-ro (gift of the Indian government)",The single most important Indian figure in Korean cultural memory of this period; his 'lamp' message became a national symbol of hope,HIGH,"The famous 15-line 'poem' is a patchwork: Tagore's actual message was a 6-line English note (an apology for declining the lecture request), translated into 4 Korean lines by Chu Yo-han (Apr 1929); Gitanjali #35 was appended and 'Korea' inserted in a closing line Tagore never wrote (likely from 세계명시선 1977); circulated in 2002/2003 textbooks and inscribed under the 2011 bust. First poem actually sent to Koreans: 'The Song of the Defeated' (Fruit-Gathering no. 85, Jan 1916).",2026-08-16,VERIFIED,S-0120;S-0086;S-0116;S-0094;S-0092
P-0031,Chin Hak-mun,秦學文,진학문,秦學文,,,UNKNOWN,,UNKNOWN,KOREAN,MODERN,Student in Tokyo; translator,NULL,(Korean student community in Tokyo),Met Tagore twice at Yokohama during Tagore's 1916 Japan visit; requested and received 'The Song of the Defeated',"Translated and published the poem (under censorship-adjusted title 「쫓긴 이의 노래」) in Ch'ŏngch'un No. 11 (Nov 1917), believing it was composed 'especially for Korean youth' (actually a re-use of Fruit-Gathering no. 85)",DIRECT,NO,Korea -> Japan (Tokyo/Yokohama 1916); never India,INDIA_TO_KOREA,LITERARY;POLITICAL,kyosu.net (citing Cho Yong-man 1982); koreatimes 2019; dongne.donga.com D-story 32 (2009),The first Korean to receive and publish a Tagore poem,MEDIUM,NULL,2026-08-16,VERIFIED,S-0120;S-0116
P-0032,Kim Ŏk,Kim Uk; Kim Eok; pen name Anso (岸曙),김억,金億,,1896,APPROX,,UNKNOWN,KOREAN,MODERN,Poet; translator (pioneer of Korean modern poetry translation); magazine editor,NULL,"Pyongyang Imunkwan publisher (기탄자리, 1923)","Produced the first full Korean translation of Tagore's Gitanjali (『기탄자리』, Pyongyang: Imunkwan, March 1923), the landmark of Indian literature's arrival in Korea; his renderings later analysed for characteristic mistranslations (e.g., 'thou'->'king' devotional shift)",Founder-figure of Korean translation literature; introduced numerous world poets,MEDIATED,NO,No record of travel to India,INDIA_TO_KOREA,LITERARY;LINGUISTIC,KCI scholarship: Jung Younghyo on Gitanjali/Kim Ŏk translation errors; Choi Dong-ho citing the March 1923 Pyongyang edition (National Assembly Library KINX2012046620; DBPia NODE01778075),India's Nobel poet enters Korean literature formally through his translation,HIGH,"Translation fact verified (Choi Dong-ho, NAL/DBPia: March 1923, Pyongyang Imunkwan; Jeong Ji-yong Literary Museum says April 1923 - minor discrepancy; a RidiBooks catalog entry lists a 1926 Imunkwan printing, likely reprint). Born 1896 (en-wiki; some sources 1895); abducted to North Korea during the Korean War; last trace at Cholsan cooperative farm, North Pyongan (1958).",2026-08-16,VERIFIED,S-0096;S-0092;S-0169
P-0033,Jeong Ji-yong,鄭芝溶,정지용,鄭芝溶,,1902,YEAR,1950,YEAR,KOREAN,MODERN,Poet,NULL,Hwimun High School (as student),"Translated 9 poems from Gitanjali in the school magazine Hwimun 창간호 (January 1923) - the earliest independently documented Korean Tagore translation, predating Kim Ŏk's full book (March 1923); later wrote 'I was crazy about Tagore's poems from India'",Canonical modern Korean poet,MEDIATED,NO,No India travel,INDIA_TO_KOREA,LITERARY;LINGUISTIC,"KCI scholarship (Choi Dong-ho, ART001612260; National Assembly Library KINX2012046620 = same article); Jeong Ji-yong Literary Museum (Hwimun 창간호, Gitanjali poems 1-9)",Earliest documented Korean translator of Tagore,HIGH,Self-quote '나는 인도의 타고르 시에 미쳐 있었던 것이다' from his prose 「조택원 무용에 관한 것」 (per Choi Dong-ho's article).,2026-08-16,VERIFIED,S-0092;S-0130;S-0143
P-0034,Han Yong-un,Han Yong-woon; Buddhist name Manhae (萬海/卍海),한용운,韓龍雲,,1879,YEAR,1944,YEAR,KOREAN,MODERN,Buddhist monk-poet; independence activist,Buddhism (Seon; colonial-era reform),March 1st Movement signatory (33 national representatives),"Deeply engaged with Tagore: published the essay 「타골의 시를 읽고」('After Reading Tagore's Poem', 1926); KCI comparative studies document Gitanjali's influence on Nim-ŭi Ch'immuk (1926) alongside his critical distance - Han faulted Tagore's detachment from colonial resistance",National poet and independence icon; Nim-ŭi Ch'immuk is a canonical work,INDIRECT,NO,No India travel,INDIA_TO_KOREA,LITERARY;RELIGIOUS;POLITICAL,"KCI comparative Han/Tagore study (ART002442623); Kim Ujo, 'Tagore's Perception of Joseon and Its Reception in Joseon', 인도연구 19(1), 2014",Emblematic case of Korean creative absorption of Tagore's spiritual lyricism transformed into national resistance poetry,HIGH,Dates widely documented; not re-pulled in pilot.,2026-08-16,VERIFIED,S-0093;S-0099
P-0035,Yi Kwang-su,Lee Kwang-su; pen name Ch'unwŏn (春園),이광수,李光洙,,1892,YEAR,1950,DAY,KOREAN,MODERN,"Novelist (Mujŏng, 1917); poet; essayist; independence activist; later pro-Japanese turn",Converted seriously to Buddhism in the 1930s,Waseda Univ. (philosophy); Tong-a Ilbo (editor-in-chief twice),"Published a review of Tagore's The Gardener (『타고르의 『원정』에 대하여』, Dong-a Ilbo, 1925-01-20), reading Tagore's poetic essence as yearning (사모함/그리워함) toward all living beings - praised by Kim Yun-sik as 'a review showing sharp understanding of Tagore'","Father of the Korean modern novel; national-renovation theorist (Minjok kaejoron, 1922)",INDIRECT,NO,Lived in Japan and Shanghai; never India,INDIA_TO_KOREA,LITERARY;INTELLECTUAL,Dong-a Ilbo review text quoted in peer-reviewed scholarship; Kim Yong-jik book chapter 'R. 타고르와 춘원 이광수',Verifiable instance of a leading Korean intellectual publicly engaging Indian poetry in the 1920s,HIGH,No evidence of direct India contact or visit.,2026-08-16,VERIFIED,S-0040;S-0122;S-0103
P-0036,Chu Yo-han,Ju Yo-han,주요한,朱耀翰,,1900,YEAR,1979,YEAR,KOREAN,MODERN,Poet (one of the first three modern Korean poets); editor-in-chief of Dong-a Ilbo,NULL,Dong-a Ilbo,"As Dong-a Ilbo editor-in-chief, received Tagore's 6-line English message (1929) and rendered it into the now-famous 4 Korean lines '일즉이 아세아의 황금 시기에…' published in Dong-a Ilbo (April 2 or 3, 1929; sources conflict); his anthology Saebyŏk I records the transmission chain (Dong-a -> Yi Tae-ro -> Ch'oe Sŭng-man -> Nash -> Chandra Bose -> Tagore)",Pioneer of Korean modern poetry; major newspaperman,MEDIATED,NO,NULL (no India travel recorded),INDIA_TO_KOREA,LITERARY;LINGUISTIC,kyosu.net (2012) reproducing his Saebyŏk I account; koreatimes (2019) confirming the 6-lines-to-4 translation,His 4-line translation became Korea's most beloved national consolation text,HIGH,Biographical dates commonly cited (1900-1979); not independently re-verified in pilot.,2026-08-16,VERIFIED,S-0120;S-0116;S-0031
P-0037,Ham Sok-hon,함석헌,함석헌,咸錫憲,,1901,YEAR,1989,YEAR,KOREAN,CONTEMPORARY,Quaker thinker; historian; educator; independence activist ('the Korean Gandhi'),Quaker (Protestant); engaged Buddhism and Confucianism,(independent scholar; later Ssangseong movement),Studied and taught Gandhi's nonviolence philosophy from the colonial era onward; called '한국의 간디' (Korea's Gandhi); his thought mediated Gandhi's ideas into the Korean independence and democracy movements,Major Korean civil-society thinker; influenced the 4.19 and democracy movements,MEDIATED,NO,No India travel documented,INDIA_TO_KOREA,POLITICAL;INTELLECTUAL;RELIGIOUS,mkgandhi.org article on Ham Sok-hon as 'the Korean Gandhi'; Indian Express (2021) on Gandhi's influence on Korea's freedom struggle; Korean scholarship (Pak Hong-kyu's books),Principal bridge for Gandhi's ideas into Korea,MEDIUM,Core activity spans colonial and post-1945 periods; pre-1945 documentary evidence of Gandhi reception needs primary-source verification.,2026-08-16,VERIFIED,S-0125;S-0081
P-0038,Mohandas Karamchand Gandhi,Mahatma Gandhi; Gandhiji,,,मोहनदास करमचंद गांधी,1869,DAY,1948,DAY,INDIAN,MODERN,Lawyer; political and spiritual leader of the Indian independence movement,Hindu (Vaishnava with Jain influences); secularist in politics,Indian National Congress,Central figure of the Indian independence movement,"MEDIATED influence: Korean press under Japanese rule reported his Non-Cooperation Movement, influencing Korea's own independence movement; Korean thinker-activist Ham Sok-hon (1901-1989), 'the Korean Gandhi', was directly influenced by his philosophy; later influence on Korean democracy movements",INDIRECT,NO,Never visited Korea (died 1948),INDIA_TO_KOREA,POLITICAL;INTELLECTUAL,Indian Express (15 Aug 2021) on Gandhi's influence on Korea's freedom struggle; mkgandhi.org on Ham Sok-hon,His nonviolence doctrine became a model for Korea's independence and later democracy movements,MEDIUM,"Include only as an influence figure - no documented direct Gandhi-Korea writing, visit, or contact found.",2026-08-16,VERIFIED,S-0081;S-0125
P-0039,Jawaharlal Nehru,Pandit Nehru,,,जवाहरलाल नेहरू,1889,DAY,1964,DAY,INDIAN,CONTEMPORARY,Prime Minister of India (1947-1964); statesman; architect of India's Korea policy,Agnostic (self-described); secularist,Government of India; Indian National Congress,Prime Minister of India 1947-1964,"With V.K. Krishna Menon, sponsored the UN resolution on Korean POW settlement; India chaired the resulting Neutral Nations Repatriation Commission (NNRC); proposal initially rejected by China/DPRK on 3 Dec 1952; Nehru Archive preserves Korea cables (4 Mar & 25 May 1953)",INDIRECT,NO,Korea absent from his official list of 35 international trips (43 countries); no record of any Korea visit,INDIA_TO_KOREA,DIPLOMATIC;POLITICAL;MILITARY,UN adopted the Indian resolution; NNRC created with Indian chairman (Thimayya) and Indian Custodian Force; Nehru Archive cables,India's mediation was pivotal to the POW-repatriation settlement ending the Korean War's humanitarian crisis,HIGH,Korea policy role fully documented; non-visit inferred from absence in official trip list.,2026-08-16,VERIFIED,S-0134;S-0141;S-0173
P-0040,Vengalil Krishnan Krishna Menon,V.K. Krishna Menon; Krishna Menon,,,,1896,DAY,1974,DAY,INDIAN,CONTEMPORARY,Diplomat; barrister; India's chief delegate to UN during Korean armistice debates; Minister of Defence,Agnostic,Government of India; United Nations,India's permanent representative to the UN; Defence Minister,Led India's UNGA campaign for POW settlement; UNGA Korea debate ended 7 March 1953 with India's resolution rejected by Communist powers; Churchill welcomed revised proposals aligned with the Indian Resolution (25 May 1953 cable),INDIRECT,UNCERTAIN,"No evidence of travel to Korea; operated from UN, New York",INDIA_TO_KOREA,DIPLOMATIC;POLITICAL,Nehru Archive cables (4 Mar 1953; 25 May 1953); UNGA 1953 debate record,Principal Indian negotiator behind the UN's Korean armistice/POW diplomacy of 1952-53,HIGH,Travel to Korea unverified and unlikely; role fully verified.,2026-08-16,VERIFIED,S-0131;S-0132;S-0184;S-0133
P-0041,Kavalam Madhava Panikkar,K.M. Panikkar; Sardar K.M. Panikkar,,,,1895,DAY,1963,DAY,INDIAN,CONTEMPORARY,Historian; diplomat; India's first ambassador to the People's Republic of China (1950-52); later ambassador to Egypt and France,NULL,Government of India (IFS); UN,India's ambassador to China during the Korean War,Acted as the communication bridge between Beijing and the West during the Korean War; relayed Zhou Enlai's 3 Oct 1950 warning (China would enter Korea if UN forces crossed the 38th parallel) to the US,INDIRECT,NO,Korea visit unverified; role exercised from Beijing embassy,INDIA_TO_KOREA,DIPLOMATIC;POLITICAL,"DVIDS/US Army Intelligence history (Panikkar as go-between, 25 Sep & 3 Oct 1950); MP-IDSA commentary (2025); Nehru Archive cables (19 Aug, 22 Dec 1950)",His channel helped the West read China's intervention intent in the Korean War,HIGH,No evidence he ever set foot in Korea.,2026-08-16,VERIFIED,S-0034;S-0079;S-0176;S-0135
P-0042,Kumara Padmanabha Sivasankara Menon,K.P.S. Menon; K.P.S. Menon (senior),,,,1898,DAY,1982,DAY,INDIAN,CONTEMPORARY,"ICS officer; diplomat; India's first Foreign Secretary (1948-52); ambassador to USSR (1952-61); Chairman, UN Temporary Commission on Korea (UNTCOK, 1947-48)",NULL,Government of India; United Nations,First Foreign Secretary of independent India,UN-appointed Chairman of UNTCOK (1947-48); supervised the first general elections in South Korea that led to the founding of the Republic of Korea (15 Aug 1948),DIRECT,YES,In Korea as UNTCOK chairman 1947-48; NYT (6 Mar 1948): returned to Seoul for commission sessions; statements at the UN Interim Committee on Korea (19 Feb 1948),INDIA_TO_KOREA,DIPLOMATIC;POLITICAL,Embassy of India Seoul history page; UN Digital Library statement record; NYT 1948; MG University bio,Headed the UN body whose elections established the Republic of Korea,HIGH,"Chaired UNTCOK (1947-48), not the later UNCOK (1948-50); Wikipedia's 'UNCOK 1948' phrasing is imprecise.",2026-08-16,VERIFIED,S-0139;S-0162;S-0035;S-0124
P-0043,Kodandera Subayya Thimayya,K.S. Thimayya; General K.S. Thimayya,,,,1906,DAY,1965,DAY,INDIAN,CONTEMPORARY,"Indian Army officer; Chairman, Neutral Nations Repatriation Commission (NNRC) 1953-54; later Chief of the Army Staff (1957-61)",NULL,Indian Army; NNRC (UN),Career Indian Army officer; COAS 1957-61,"NNRC Chairman; arrived Korea 27 July 1953 (armistice day); led India's neutral supervision of POW repatriation with Sweden, Switzerland, Poland, Czechoslovakia; memorialized with a bust at Imjingak Peace Park (unveiled 2026)",DIRECT,YES,Stationed in Korea 1953-54 as NNRC Chairman,INDIA_TO_KOREA,MILITARY;DIPLOMATIC;HUMANITARIAN,Korean Medals NNRC history; Korea Herald memorial coverage; Embassy of India Seoul page,Chaired the commission that resolved the Korean War's POW impasse - India's most visible 20th-century peacekeeping role,HIGH,Alternate NNRC Chairman was Indian ambassador B.N. Chakravarty.,2026-08-16,VERIFIED,S-0114;S-0111;S-0035;S-0180
P-0044,S. P. P. Thorat,Shankarrao Pandurang Patil Thorat; Lt. Gen. S.P.P. Thorat,,,,1906,DAY,1992,DAY,INDIAN,CONTEMPORARY,"Indian Army officer (Lieutenant General); Commander, Custodian Force of India (ICF) in Korea; later GOC-in-C Eastern Command",NULL,Indian Army; NNRC (ICF),Senior Indian Army officer,"Commanded the Custodian Force (India) in Korea 1953-54; supervised neutral custody and repatriation of 22,000+ POWs; decorated with Kirti Chakra and Padma Shri",DIRECT,YES,Served in Korea 1953-54 commanding ICF operations under the NNRC,INDIA_TO_KOREA,MILITARY;DIPLOMATIC;HUMANITARIAN,"Official history 'History of the Custodian Force (India) in Korea, 1953-54' (published); Korean Medals ICF records; Nehru Archive profile; en-wiki",Led India's largest overseas military deployment before the 1960s (Congo); the ICF mission is India's first foreign peacekeeping operation,HIGH,"Full name Shankarrao Pandurang Patil Thorat confirmed (Nehru Archive profile; en-wiki); b. 12 Aug 1906, d. 10 Aug 1992; GOC-in-C Eastern Command in the lead-up to the 1962 Sino-Indian War (not Southern Command).",2026-08-16,VERIFIED,S-0055;S-0113;S-0136;S-0178
P-0045,B. N. Chakravarty,B.N. Chakravarty,,,,,UNKNOWN,,UNKNOWN,INDIAN,CONTEMPORARY,Indian ambassador; Alternate Chairman of the NNRC (1953-54),NULL,Government of India; NNRC,Indian diplomat,Served in Korea as Alternate Chairman of the NNRC during the POW repatriation operation 1953-54,DIRECT,YES,In Korea 1953-54 with the NNRC,INDIA_TO_KOREA,DIPLOMATIC;MILITARY,Korean Medals NNRC history; Embassy of India Seoul page (via Thimayya entry),Senior Indian diplomat on the NNRC during the Korean War settlement,MEDIUM,Biographical details sparse in accessible sources; verify against NNRC official records. Possible identification with Binay Ranjan Sen is NOT confirmed - do not conflate.,2026-08-16,PARTIAL,S-0114;S-0035
P-0046,A. G. Rangaraj,Lt. Col. A.G. Rangaraj,,,,,UNKNOWN,,UNKNOWN,INDIAN,CONTEMPORARY,Indian Army officer (Lieutenant Colonel); commanded the 60th Indian Parachute Field Ambulance,NULL,Indian Army; 60th Indian Parachute Field Ambulance (UN),Indian Army officer; India's first military paratrooper,Commanded the 60th Indian Parachute Field Ambulance which arrived at Busan 20 Nov 1950 under the UN flag; unit served in the Korean War medical mission; honored at the Imjingak memorial,DIRECT,YES,"Arrived Busan, Korea 20 Nov 1950; unit served in Korea during the war",INDIA_TO_KOREA,MILITARY;HUMANITARIAN,Korean Medals 60th Indian Parachute Field Ambulance page; Imjingak memorial,"Led India's first military unit in Korea (medical mission, 1950)",MEDIUM,Unit-level records verified; personal biographical details sparse.,2026-08-16,PARTIAL,S-0112
P-0047,Syed Muzaffar Aga,Muzaffar Aga,,,,1919,APPROX,2026,YEAR,INDIAN,CONTEMPORARY,Civil servant; diplomat; India's FIRST ambassador to the Republic of Korea (Dec 1974 - Oct 1977),NULL,"Government of India (IFS); Embassy of India, Seoul","Former Jammu & Kashmir IAS officer (first Transport Commissioner, Financial Commissioner); later Chief Secretary of J&K (1978-80)",First Indian ambassador to the Republic of Korea after diplomatic relations were established (1973); served in Seoul Dec 1974 - Oct 1977,DIRECT,YES,"Served in Seoul, Korea 1974-1977",INDIA_TO_KOREA,DIPLOMATIC;POLITICAL,Kashmir Life obituary (2026); Wikipedia list of Indian ambassadors to South Korea,Founding figure of India's resident diplomatic presence in South Korea,MEDIUM,"Died July 2026 at age 108 per Kashmir Life obituary (which gives Seoul tenure 1975-78); Wikipedia ambassador list records Dec 1974 - Oct 1977 - minor discrepancy, dates unadjudicated.",2026-08-16,VERIFIED,S-0089;S-0167
P-0048,Park Chan-hyun,박찬현,박찬현,,,,UNKNOWN,,UNKNOWN,KOREAN (South Korea),CONTEMPORARY,Diplomat; politician; FIRST ROK ambassador to India (Feb 1974 - June 1976),NULL,"Ministry of Foreign Affairs (ROK); Embassy of the Republic of Korea, New Delhi",First South Korean ambassador to India; embassy upgraded from the 1962 New Delhi consulate after the 10 Dec 1973 recognition of the Republic of Korea,Later served as National Assembly member,DIRECT,YES,"Served in New Delhi, India 1974-1976",KOREA_TO_INDIA,DIPLOMATIC;POLITICAL,NamuWiki entry on Park Chan-hyun; ROK embassy history page,Founding figure of South Korea's resident diplomatic presence in India,MEDIUM,Korean-language source (NamuWiki); corroborate with MOFA records in next phase.,2026-08-16,VERIFIED,S-0129;S-0128
P-0049,Kim Woo-choong,Kim Woo-Choong; Gim Ujung; Kim Woo-jung,김우중,金宇中,,1936,DAY,2019,DAY,KOREAN (South Korea),CONTEMPORARY,Businessman; founder and chairman of the Daewoo Group until its 1999 collapse,NULL,Daewoo Group; DCM-Daewoo joint venture,"Led Daewoo's entry into India via the DCM-Daewoo joint venture; in New Delhi on 7 June 1994 at the launch of the Racer with DCM Chairman S.G. Awasthi; Daewoo Cielo assembly (India JV 1995, initial capacity 50,000 units/yr)","Chairman of Korea's second-largest chaebol; global expansion into India, Uzbekistan, Poland, Vietnam",DIRECT,YES,"Physically present in New Delhi, 7 June 1994, for the DCM-Daewoo Racer launch",KOREA_TO_INDIA,ECONOMIC,Times of India photo archive (June 1994); Daewoo Motors India operations; automotive press coverage,First major Korean auto investment in India post-liberalization; helped open the Indian market to Korean chaebols,HIGH,Personal travel verified via the TOI photo archive; company-level India operations corroborated by Daewoo Motors history.,2026-08-16,VERIFIED,S-0157;S-0170;S-0016
P-0050,Lee Kun-hee,Lee Kun-Hee,이건희,李健熙,,1942,DAY,2020,DAY,KOREAN (South Korea),CONTEMPORARY,"Businessman; chairman of Samsung Group and Samsung Electronics (1987-2008, 2010-2020)",NULL,Samsung Group,"Under his leadership Samsung entered India: Samsung India Electronics Pvt. Ltd. incorporated 3 August 1995 (MCA CIN U31900DL1995PTC071387), operations from December 1995 - the seed of today's Noida mega-factory",Chairman of Korea's largest chaebol; 'New Management' globalization drive 1993 onward included India,INDIRECT,UNCERTAIN,NULL - company presence verified; personal travel unverified,KOREA_TO_INDIA,ECONOMIC,MCA incorporation record (3 Aug 1995); Samsung's own history (operations began Dec 1995); subsequent world's-largest mobile plant at Noida,His globalization strategy established Samsung's India manufacturing base - among the largest Korean investments in India,MEDIUM,Corporate India connection VERIFIED; personal visit UNVERIFIED (physically_traveled = UNCERTAIN).,2026-08-16,PARTIAL,S-0027;S-0017;S-0172
P-0051,Ko Un,"Go Eun; 高銀; birth name Ko Un-tae (고은태, 高銀泰)",고은,高銀,,1933,DAY,,UNKNOWN,KOREAN (South Korea),CONTEMPORARY,Poet,Buddhism (ordained monk 1952-1962),NULL,"Travelled in India in the 1990s (Poetry Foundation bio); 1992 India visit (Authors Calendar); Feb 2019 New Delhi - Raza Biennale of Indian Poetry and talk at JNU (Korea Herald); guest of honor at 14th Kritya International Poetry Festival, read at its inauguration (online, 4-13 Jul 2021); novel Little Pilgrim (1992) set in India",One of Korea's most celebrated living poets; official site koun.co.kr,DIRECT,YES,"1990s India travels (1992 visit); Feb 2019 New Delhi (Raza Biennale; JNU talk); India themes surface in his poetry (Little Pilgrim, 1992); guest of honor at 14th Kritya International Poetry Festival (online, Jul 2021)",BIDIRECTIONAL,LITERARY;ACADEMIC,Korea Herald 2023-01-13 exclusive on Ko Un's India/international career (Kritya 2021 guest of honor; New Delhi 2019; Mexico City 2018); Poetry Foundation bio; Authors Calendar (1992 visit),Korea's most translated contemporary poet; major cultural bridge between Korea and South Asia,HIGH,"Born 1 Aug 1933, Gunsan (ko-wiki; naver blog); birth name 고은태 (高銀泰) - earlier 'Yi Seon-il' variant dropped as unsupported. No India-specific travelogue/collection title identified despite searching (unresolved gap, not a contradiction).",2026-08-16,VERIFIED,S-0148;S-0110;S-0117;S-0106;S-0008
P-0052,Pŏpchŏng,Beopjeong; Beopjeong Sunim; 法頂; birth name Park Jae-cheol,법정,法頂,,1932,YEAR,2010,YEAR,KOREAN (South Korea),CONTEMPORARY,Buddhist monk; essayist (author of 무소유 / 'Nothing to Possess'),Buddhism (Korean Seon; Songgwangsa lineage),Songgwangsa lineage,Travelled to India in 1971; met Vinoba Bhave (Gandhian land-gift/ahimsa leader); Mahatma Gandhi's words quoted at the opening of his best-known essay collection 무소유,One of the most beloved Korean Buddhist essayists of the 20th century,DIRECT,YES,1971 India trip - visited Vinoba Bhave's ashram; the encounter with Gandhian renunciation philosophy shaped his simplicity/renunciation teachings,INDIA_TO_KOREA,RELIGIOUS;LITERARY;INTELLECTUAL,Bulkwang article (2024) on his India trip and Vinoba Bhave meeting; Gandhi quote opening 무소유,Brought Gandhian renunciation-ethics into mainstream Korean Buddhist thought; 무소유 became a cultural phenomenon,HIGH,Article also ties him to India's Buddhist sites (Sarnath/Bodh Gaya) pilgrimage culture.,2026-08-16,VERIFIED,S-0025;S-0015
P-0053,Lokesh Chandra,Lokesh Chandra (son of Sanskritist Raghu Vira),,,लोकेश चंद्र,1927,YEAR,,UNKNOWN,INDIAN,CONTEMPORARY,Indologist; Sanskritist; Vedic/Buddhist studies scholar; former Member of Parliament (Rajya Sabha),Buddhist-heritage scholarship (Buddhism specialist),International Academy of Indian Culture (Director),India's foremost living Indologist; leading scholar of Buddhist Sanskrit and Korea's Buddhist heritage,"(1) Author of 'Morning Calm and The Pensive Beyond - Cultural Interflow Between India and Korea' (Aditya Prakashan, 2019); (2) Chapter 'Buddhism as the creative vision of Korea' in Cultural Horizons of India Vol. 2 (1990); (3) Ribbon-cutting at the Lotus Sutra exhibition in Seoul, Sept 2016, with Lee Soo-sung (former PM of Korea) and Chae Young Kim",DIRECT,YES,Visited Seoul Sept 2016 for the Lotus Sutra exhibition; decades of scholarship on Korea-India Buddhist cultural interflow,INDIA_TO_KOREA,ACADEMIC;CULTURAL;RELIGIOUS,2019 monograph dedicated to India-Korea cultural interflow; Korean-themed chapter since 1990; participation in Seoul exhibition 2016,Principal Indian scholar connecting India's Buddhist heritage with Korean Buddhist culture in the modern era,HIGH,"Korea connection anchored on three independent sources (book, collected-works chapter, event report).",2026-08-16,VERIFIED,S-0004;S-0183;S-0159;S-0067
P-0054,Jung Seung-suk,Jeong Seung-seok; Chung Seung-suk,정승석,,,,UNKNOWN,,UNKNOWN,KOREAN (South Korea),CONTEMPORARY,Scholar of Indian philosophy (academic; Buddhist/Indian philosophy writing),NULL,"Dongguk University (MA 1980, PhD 1991 - Indian philosophy)",Career scholar of Indian philosophy; all degrees from Dongguk University (NOT India-trained),"Contributes to Korean-language scholarship/publishing on Indian philosophy (Buddhist review, Beopbo, Kyobo author pages)",INDIRECT,UNCERTAIN,NULL - no documented India residence,INDIA_TO_KOREA,ACADEMIC;INTELLECTUAL,Author profile and works on Indian philosophy (Kyobo); Buddhist-press articles,Representative Korean academic of Indian philosophy in the domestic tradition,HIGH,"His MA/PhD are from Dongguk, not Delhi University - an India-trained status could NOT be documented; do not claim otherwise.",2026-08-16,VERIFIED,S-0024;S-0118
P-0055,U Myeong-ju,Woo Myung-ju; U Myung-ju,우명주,,,,UNKNOWN,,UNKNOWN,KOREAN (South Korea),CONTEMPORARY,Buddhist-studies researcher; former journalist (한겨레21 India correspondent); former Korean lecturer at University of Delhi,Buddhism (lay scholar),Dongguk University Gyeongju (Buddhist studies researcher),MA (c. 2001) and PhD in Buddhist Studies at University of Delhi; resided in Delhi; taught Korean at Delhi University; wrote '세계의 불교대학2: 인도 델리대학' (2019-03-19),Returned to Korea; researcher at Dongguk University Gyeongju,DIRECT,YES,Lived and studied in Delhi for her MA/PhD (c. 2001 onward); later worked as India correspondent and as Korean language lecturer at Delhi University,BIDIRECTIONAL,ACADEMIC;LINGUISTIC;JOURNALISM,Her published first-hand article on Delhi University's Buddhist studies program (2019),Documented the Delhi University-Korean Buddhist connection for Korean readers; bridge figure,HIGH,"Lay scholar - placed in scholars category, NOT monastic.",2026-08-16,VERIFIED,S-0054
P-0056,Lee Jeong-ho,Lee Jung-ho; Yi Jeong-ho,이정호,,,,UNKNOWN,,UNKNOWN,KOREAN (South Korea),CONTEMPORARY,"Professor of Hindi, Hankuk University of Foreign Studies (HUFS); translator (Hindi->Korean)",NULL,HUFS (Hindi department),"Studied at Central Institute of Hindi; MA in Hindi Literature (JNU); PhD (Meerut University); author of 힌디-한국어사전 (Hindi-Korean Dictionary), 힌디문법, 아힌사, 베다 읽기, 마하트마 간디 평전, 인도와 한국의 단편문학 비교 연구; translated Tamas (Bhisham Sahni) into Korean; Hindi Sevi Samman (2009) from Indian President Pratibha Patil",Korea's senior Hindi studies professor and India-literature translator,DIRECT,YES,"Studied in India over years (Central Institute of Hindi, JNU, Meerut)",BIDIRECTIONAL,ACADEMIC;LINGUISTIC;LITERARY,"Hindi-Korean dictionary, Gandhi biography in Korean, Tamas translation, Presidential award",Principal architect of Korean-language Hindi studies and Hindi<->Korean literary translation,HIGH,Qualifies for both scholars and translators categories.,2026-08-16,VERIFIED,S-0119
